step,body,x,y,z,energy
942,0,9.877095e+04,2.077481e+04,8.990064e+03,-2.650996e+33
942,1,1.167039e+11,8.589096e+10,3.716834e+10,-2.650996e+33
948,0,9.998282e+04,2.116750e+04,9.159993e+03,-2.651004e+33
948,1,1.163003e+11,8.635069e+10,3.736728e+10,-2.651004e+33
954,0,1.012011e+05,2.156498e+04,9.331999e+03,-2.651012e+33
954,1,1.158945e+11,8.680883e+10,3.756554e+10,-2.651012e+33
960,0,1.024259e+05,2.196728e+04,9.506092e+03,-2.651021e+33
960,1,1.154866e+11,8.726536e+10,3.776309e+10,-2.651021e+33
966,0,1.036571e+05,2.237444e+04,9.682284e+03,-2.651029e+33
966,1,1.150766e+11,8.772028e+10,3.795995e+10,-2.651029e+33
972,0,1.048947e+05,2.278647e+04,9.860585e+03,-2.651037e+33
972,1,1.146644e+11,8.817357e+10,3.815611e+10,-2.651037e+33
978,0,1.061386e+05,2.320340e+04,1.004101e+04,-2.651045e+33
978,1,1.142501e+11,8.862523e+10,3.835156e+10,-2.651045e+33
984,0,1.073889e+05,2.362526e+04,1.022356e+04,-2.651053e+33
984,1,1.138337e+11,8.907525e+10,3.854630e+10,-2.651053e+33
990,0,1.086455e+05,2.405206e+04,1.040826e+04,-2.651061e+33
990,1,1.134152e+11,8.952362e+10,3.874033e+10,-2.651061e+33
996,0,1.099084e+05,2.448384e+04,1.059511e+04,-2.651070e+33
996,1,1.129945e+11,8.997033e+10,3.893364e+10,-2.651070e+33
1002,0,1.111775e+05,2.492062e+04,1.078412e+04,-2.651078e+33
1002,1,1.125718e+11,9.041538e+10,3.912623e+10,-2.651078e+33
1008,0,1.124530e+05,2.536243e+04,1.097530e+04,-2.651086e+33
1008,1,1.121471e+11,9.085876e+10,3.931809e+10,-2.651086e+33
1014,0,1.137346e+05,2.580929e+04,1.116868e+04,-2.651094e+33
1014,1,1.117202e+11,9.130045e+10,3.950923e+10,-2.651094e+33
1020,0,1.150225e+05,2.626122e+04,1.136424e+04,-2.651102e+33
1020,1,1.112913e+11,9.174045e+10,3.969964e+10,-2.651102e+33
1026,0,1.163165e+05,2.671824e+04,1.156202e+04,-2.651110e+33
1026,1,1.108603e+11,9.217876e+10,3.988931e+10,-2.651110e+33
1032,0,1.176167e+05,2.718039e+04,1.176201e+04,-2.651119e+33
1032,1,1.104272e+11,9.261536e+10,4.007824e+10,-2.651119e+33
1038,0,1.189231e+05,2.764769e+04,1.196422e+04,-2.651127e+33
1038,1,1.099922e+11,9.305024e+10,4.026643e+10,-2.651127e+33
1044,0,1.202355e+05,2.812016e+04,1.216868e+04,-2.651135e+33
1044,1,1.095551e+11,9.348340e+10,4.045388e+10,-2.651135e+33
1050,0,1.215540e+05,2.859783e+04,1.237538e+04,-2.651143e+33
1050,1,1.091159e+11,9.391484e+10,4.064058e+10,-2.651143e+33
1056,0,1.228786e+05,2.908071e+04,1.258435e+04,-2.651151e+33
1056,1,1.086748e+11,9.434453e+10,4.082652e+10,-2.651151e+33
1062,0,1.242092e+05,2.956884e+04,1.279558e+04,-2.651159e+33
1062,1,1.082316e+11,9.477248e+10,4.101171e+10,-2.651159e+33
1068,0,1.255458e+05,3.006223e+04,1.300909e+04,-2.651168e+33
1068,1,1.077864e+11,9.519867e+10,4.119614e+10,-2.651168e+33
1074,0,1.268884e+05,3.056091e+04,1.322489e+04,-2.651176e+33
1074,1,1.073393e+11,9.562310e+10,4.137981e+10,-2.651176e+33
1080,0,1.282370e+05,3.106491e+04,1.344299e+04,-2.651184e+33
1080,1,1.068901e+11,9.604576e+10,4.156271e+10,-2.651184e+33
1086,0,1.295915e+05,3.157425e+04,1.366340e+04,-2.651192e+33
1086,1,1.064390e+11,9.646665e+10,4.174485e+10,-2.651192e+33
1092,0,1.309519e+05,3.208894e+04,1.388613e+04,-2.651200e+33
1092,1,1.059859e+11,9.688575e+10,4.192621e+10,-2.651200e+33
1098,0,1.323183e+05,3.260902e+04,1.411118e+04,-2.651208e+33
1098,1,1.055308e+11,9.730305e+10,4.210679e+10,-2.651208e+33
1104,0,1.336904e+05,3.313451e+04,1.433858e+04,-2.651217e+33
1104,1,1.050738e+11,9.771856e+10,4.228659e+10,-2.651217e+33
1110,0,1.350684e+05,3.366543e+04,1.456833e+04,-2.651225e+33
1110,1,1.046149e+11,9.813225e+10,4.246562e+10,-2.651225e+33
1116,0,1.364522e+05,3.420180e+04,1.480044e+04,-2.651233e+33
1116,1,1.041540e+11,9.854413e+10,4.264385e+10,-2.651233e+33
1122,0,1.378418e+05,3.474365e+04,1.503492e+04,-2.651241e+33
